Order-Id,Item-id,Product-Id,Quantity,Sales-Id,Customer-Id,Sales-Price-Per-Prod,Market-Segment
0,0,16,18,1,28,148,realestate
1,1,18,5,1,24,85,software
2,2,13,29,5,20,128,retail
3,3,19,11,9,2,86,retail
4,4,2,8,1,23,211,pharmaceutical
5,5,17,23,2,22,205,pharmaceutical
6,6,14,0,2,8,198,education
7,7,12,21,4,18,101,financial
8,8,9,25,9,20,77,education
9,9,8,14,6,7,158,retail
10,10,16,22,0,2,158,software
11,11,12,24,0,6,107,realestate
12,12,7,20,8,15,147,realestate
13,13,18,14,8,11,83,realestate
14,14,10,3,1,20,125,realestate
15,15,17,12,9,19,188,pharmaceutical
16,16,9,1,6,8,59,education
17,17,4,26,8,10,149,financial
18,18,10,5,0,26,145,retail
19,19,15,27,2,12,186,realestate
20,20,16,0,0,15,146,software
21,21,4,1,7,21,190,software
22,22,6,16,7,23,66,realestate
23,23,5,10,1,1,110,education
24,24,17,3,3,1,202,education
25,25,9,0,4,10,89,pharmaceutical
26,26,7,10,3,1,129,financial
27,27,1,16,2,7,231,pharmaceutical
28,28,1,5,4,8,183,pharmaceutical
29,29,8,7,1,0,133,financial
30,30,14,9,7,11,182,financial
31,31,5,25,0,14,101,realestate
32,32,18,14,9,4,79,realestate
33,33,7,23,5,5,167,pharmaceutical
34,34,4,0,3,11,132,realestate
35,35,12,1,3,16,84,realestate
36,36,3,29,9,27,202,retail
37,37,7,2,3,2,138,pharmaceutical
38,38,11,22,2,10,138,retail
39,39,12,16,9,20,104,retail
40,40,7,26,9,18,151,software
41,41,7,21,0,25,124,education
42,42,15,22,4,14,181,financial
43,43,14,22,4,16,183,realestate
44,44,13,24,2,19,131,financial
45,45,0,3,6,1,121,software
46,46,7,7,2,24,127,software
47,47,12,27,1,19,78,education
48,48,17,1,9,14,186,education
49,49,15,26,2,0,181,realestate
50,50,19,28,7,13,87,pharmaceutical
51,51,7,5,4,9,157,software
52,52,19,25,3,12,91,retail
53,53,12,3,3,3,97,financial
54,54,3,13,5,11,172,software
55,55,18,0,6,14,52,software
56,56,12,25,8,2,91,education
57,57,4,22,2,28,146,realestate
58,58,15,17,9,2,209,software
59,59,19,1,8,11,87,pharmaceutical
60,60,18,21,1,16,70,pharmaceutical
61,61,5,12,1,22,132,retail
62,62,10,23,3,29,126,pharmaceutical
63,63,1,5,2,24,171,retail
64,64,1,26,5,14,204,realestate
65,65,10,0,2,20,127,pharmaceutical
66,66,13,20,4,29,103,retail
67,67,17,27,1,2,198,financial
68,68,16,1,2,4,151,realestate
69,69,10,9,2,22,99,education
70,70,5,18,1,18,92,financial
71,71,2,20,3,10,201,financial
72,72,19,26,6,25,96,software
73,73,8,17,5,17,167,retail
74,74,13,29,9,8,108,realestate
75,75,1,9,0,21,235,education
76,76,2,24,6,10,210,software
77,77,16,6,6,22,155,financial
78,78,18,17,1,5,103,software
79,79,2,27,4,0,202,pharmaceutical
80,80,0,27,3,28,120,retail
81,81,4,12,4,25,140,retail
82,82,17,12,4,19,191,realestate
83,83,18,5,3,3,73,education
84,84,18,12,8,4,77,retail
85,85,13,17,9,16,108,realestate
86,86,19,20,2,27,110,pharmaceutical
87,87,6,28,3,17,42,realestate
88,88,10,1,8,25,104,pharmaceutical
89,89,15,0,5,27,220,realestate
90,90,8,4,3,16,139,realestate
91,91,16,29,0,6,153,retail
92,92,1,29,7,6,217,education
93,93,5,10,4,3,108,software
94,94,10,16,5,1,88,financial
95,95,13,24,1,20,121,pharmaceutical
96,96,16,25,1,23,151,education
97,97,6,20,2,12,73,financial
98,98,18,15,9,11,55,software
99,99,7,2,2,22,136,realestate
100,100,12,24,3,16,107,software
