Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,8,54,8,Some Random Commen with Id 0
1,1,8,96,6,Some Random Commen with Id 1
2,1,8,31,3,Some Random Commen with Id 2
3,1,8,164,7,Some Random Commen with Id 3
4,1,8,87,2,Some Random Commen with Id 4
5,1,8,164,4,Some Random Commen with Id 5
6,1,8,70,2,Some Random Commen with Id 6
7,1,8,58,6,Some Random Commen with Id 7
8,2,6,35,9,Some Random Commen with Id 8
9,2,6,89,2,Some Random Commen with Id 9
10,2,6,124,5,Some Random Commen with Id 10
11,2,6,140,1,Some Random Commen with Id 11
12,2,6,133,9,Some Random Commen with Id 12
13,2,6,143,9,Some Random Commen with Id 13
14,2,6,126,2,Some Random Commen with Id 14
15,3,1,189,2,Some Random Commen with Id 15
16,3,1,26,9,Some Random Commen with Id 16
17,3,1,122,2,Some Random Commen with Id 17
18,3,1,1,9,Some Random Commen with Id 18
19,4,0,21,7,Some Random Commen with Id 19
20,4,0,103,3,Some Random Commen with Id 20
21,4,0,46,8,Some Random Commen with Id 21
22,5,1,22,9,Some Random Commen with Id 22
23,5,1,85,2,Some Random Commen with Id 23
24,5,1,179,0,Some Random Commen with Id 24
25,5,1,163,0,Some Random Commen with Id 25
26,5,1,28,7,Some Random Commen with Id 26
27,6,4,187,4,Some Random Commen with Id 27
28,6,4,61,8,Some Random Commen with Id 28
29,6,4,97,2,Some Random Commen with Id 29
30,6,4,78,1,Some Random Commen with Id 30
31,6,4,7,4,Some Random Commen with Id 31
32,6,4,90,8,Some Random Commen with Id 32
33,7,6,164,0,Some Random Commen with Id 33
34,7,6,92,8,Some Random Commen with Id 34
35,7,6,91,6,Some Random Commen with Id 35
36,8,9,158,1,Some Random Commen with Id 36
37,8,9,17,8,Some Random Commen with Id 37
38,8,9,199,0,Some Random Commen with Id 38
39,8,9,142,2,Some Random Commen with Id 39
40,8,9,112,0,Some Random Commen with Id 40
41,8,9,77,2,Some Random Commen with Id 41
42,9,6,78,9,Some Random Commen with Id 42
43,9,6,133,4,Some Random Commen with Id 43
44,9,6,45,9,Some Random Commen with Id 44
45,9,6,138,9,Some Random Commen with Id 45
46,9,6,59,7,Some Random Commen with Id 46
47,10,4,91,9,Some Random Commen with Id 47
48,11,0,98,4,Some Random Commen with Id 48
49,13,1,123,7,Some Random Commen with Id 49
50,13,1,27,1,Some Random Commen with Id 50
51,13,1,199,9,Some Random Commen with Id 51
52,13,1,154,6,Some Random Commen with Id 52
53,13,1,129,3,Some Random Commen with Id 53
54,15,2,14,9,Some Random Commen with Id 54
55,15,2,172,6,Some Random Commen with Id 55
56,15,2,10,2,Some Random Commen with Id 56
57,16,9,15,3,Some Random Commen with Id 57
58,16,9,50,5,Some Random Commen with Id 58
59,16,9,186,6,Some Random Commen with Id 59
60,16,9,177,0,Some Random Commen with Id 60
61,16,9,132,1,Some Random Commen with Id 61
62,16,9,132,3,Some Random Commen with Id 62
63,16,9,125,1,Some Random Commen with Id 63
64,16,9,24,3,Some Random Commen with Id 64
65,16,9,189,8,Some Random Commen with Id 65
66,17,0,38,2,Some Random Commen with Id 66
67,17,0,194,3,Some Random Commen with Id 67
68,17,0,62,2,Some Random Commen with Id 68
69,17,0,181,6,Some Random Commen with Id 69
70,17,0,169,0,Some Random Commen with Id 70
71,17,0,198,9,Some Random Commen with Id 71
72,17,0,123,8,Some Random Commen with Id 72
73,17,0,167,4,Some Random Commen with Id 73
74,19,1,74,2,Some Random Commen with Id 74
75,19,1,134,3,Some Random Commen with Id 75
76,19,1,106,1,Some Random Commen with Id 76
77,19,1,13,0,Some Random Commen with Id 77
78,19,1,27,4,Some Random Commen with Id 78
79,19,1,141,9,Some Random Commen with Id 79
80,21,3,154,7,Some Random Commen with Id 80
81,21,3,128,8,Some Random Commen with Id 81
82,21,3,44,4,Some Random Commen with Id 82
83,22,5,27,7,Some Random Commen with Id 83
84,22,5,144,8,Some Random Commen with Id 84
85,22,5,72,9,Some Random Commen with Id 85
86,22,5,198,2,Some Random Commen with Id 86
87,22,5,165,0,Some Random Commen with Id 87
88,24,8,132,0,Some Random Commen with Id 88
89,24,8,56,7,Some Random Commen with Id 89
90,24,8,129,0,Some Random Commen with Id 90
91,24,8,107,6,Some Random Commen with Id 91
92,24,8,103,0,Some Random Commen with Id 92
93,24,8,142,2,Some Random Commen with Id 93
94,25,9,79,7,Some Random Commen with Id 94
95,25,9,12,8,Some Random Commen with Id 95
96,25,9,165,8,Some Random Commen with Id 96
97,25,9,41,5,Some Random Commen with Id 97
98,25,9,23,4,Some Random Commen with Id 98
99,25,9,180,1,Some Random Commen with Id 99
100,25,9,146,1,Some Random Commen with Id 100
101,25,9,188,8,Some Random Commen with Id 101
102,25,9,49,9,Some Random Commen with Id 102
103,26,4,71,3,Some Random Commen with Id 103
104,27,5,64,3,Some Random Commen with Id 104
105,27,5,53,6,Some Random Commen with Id 105
106,27,5,37,6,Some Random Commen with Id 106
107,28,0,30,2,Some Random Commen with Id 107
108,29,9,82,9,Some Random Commen with Id 108
109,29,9,85,9,Some Random Commen with Id 109
110,29,9,90,2,Some Random Commen with Id 110
111,29,9,139,3,Some Random Commen with Id 111
112,29,9,36,0,Some Random Commen with Id 112
113,29,9,72,1,Some Random Commen with Id 113
114,29,9,12,8,Some Random Commen with Id 114
115,29,9,158,3,Some Random Commen with Id 115
116,29,9,132,8,Some Random Commen with Id 116
117,30,7,67,2,Some Random Commen with Id 117
118,30,7,86,8,Some Random Commen with Id 118
119,30,7,84,6,Some Random Commen with Id 119
120,30,7,76,8,Some Random Commen with Id 120
121,30,7,101,0,Some Random Commen with Id 121
122,31,3,8,6,Some Random Commen with Id 122
123,31,3,98,1,Some Random Commen with Id 123
124,31,3,119,0,Some Random Commen with Id 124
125,31,3,134,3,Some Random Commen with Id 125
126,31,3,48,9,Some Random Commen with Id 126
127,31,3,197,9,Some Random Commen with Id 127
128,32,4,129,8,Some Random Commen with Id 128
129,32,4,76,4,Some Random Commen with Id 129
130,33,5,162,2,Some Random Commen with Id 130
131,33,5,133,9,Some Random Commen with Id 131
132,33,5,70,0,Some Random Commen with Id 132
133,33,5,27,6,Some Random Commen with Id 133
134,33,5,9,2,Some Random Commen with Id 134
135,33,5,95,8,Some Random Commen with Id 135
136,33,5,51,9,Some Random Commen with Id 136
137,33,5,178,7,Some Random Commen with Id 137
138,34,5,194,6,Some Random Commen with Id 138
139,34,5,26,6,Some Random Commen with Id 139
140,34,5,7,6,Some Random Commen with Id 140
141,34,5,35,2,Some Random Commen with Id 141
142,34,5,101,2,Some Random Commen with Id 142
143,34,5,90,1,Some Random Commen with Id 143
